,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
63,720575940619176094,2,43,1,ACH,left,2194.0,2275.0,0,2,0,43,-43,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.959890610756609,21.5
64,720575940619185031,2,43,1,GABA,right,116.0,192.0,0,2,0,43,-43,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,37.06896551724138,21.5
65,720575940619421823,2,46,1,ACH,right,78.0,565.0,0,2,0,46,-46,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,58.97435897435898,23.0
66,720575940619453831,1,54,1,,left,538.0,573.0,1,0,54,0,54,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.037174721189592,54.0
67,720575940619473624,1,10,1,ACH,left,3204.0,1779.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.3121098626716604,10.0
68,720575940619921488,1,30,1,ACH,left,2454.0,1476.0,1,0,30,0,30,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,1.2224938875305624,30.0
69,720575940619973712,1,31,1,GABA,left,1479.0,1699.0,0,1,0,31,-31,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0960108181203516,31.0
70,720575940620031366,3,109,1,GLUT,left,1766.0,1018.0,0,3,0,109,-109,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.172140430351076,36.333333333333336
71,720575940620254087,1,24,1,ACH,left,1840.0,3127.0,0,1,0,24,-24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.3043478260869565,24.0
72,720575940620274085,1,17,1,GABA,left,2835.0,1670.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.599647266313933,17.0
73,720575940620292116,1,12,1,GABA,left,964.0,1212.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2448132780082988,12.0
74,720575940620359956,1,13,1,GABA,left,2652.0,2198.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.49019607843137253,13.0
75,720575940620374693,1,28,1,,left,1158.0,1266.0,0,1,0,28,-28,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.4179620034542317,28.0
76,720575940620610881,1,11,1,GLUT,right,361.0,171.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.0470914127423825,11.0
77,720575940620627803,1,20,1,GABA,left,707.0,1261.0,0,1,0,20,-20,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.828854314002829,20.0
78,720575940620692833,1,12,1,,right,40.0,30.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,30.0,12.0
79,720575940620735258,2,24,1,ACH,left,646.0,316.0,0,2,0,24,-24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.7151702786377707,12.0
80,720575940620818029,1,23,1,GABA,left,102.0,137.0,0,1,0,23,-23,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,22.54901960784314,23.0
81,720575940621252468,1,14,1,ACH,right,354.0,698.0,1,0,14,0,14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.954802259887006,14.0
82,720575940621304790,1,19,1,ACH,right,496.0,199.0,0,1,0,19,-19,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.8306451612903225,19.0
83,720575940621329328,1,13,1,ACH,left,942.0,621.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.3800424628450108,13.0
84,720575940621651327,1,11,1,ACH,left,368.0,514.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.989130434782609,11.0
85,720575940621736669,1,10,1,GLUT,right,2658.0,1204.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.3762227238525207,10.0
86,720575940621898665,2,49,1,,right,98.0,141.0,0,2,0,49,-49,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,50.0,24.5
87,720575940621916952,2,46,1,ACH,left,138.0,1252.0,0,2,0,46,-46,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,33.33333333333333,23.0
88,720575940622107937,1,12,1,GLUT,right,333.0,155.0,1,0,12,0,12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6036036036036037,12.0
89,720575940622284947,1,10,1,GLUT,left,985.0,979.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,1.015228426395939,10.0
90,720575940622346180,2,186,1,ACH,right,214.0,587.0,0,2,0,186,-186,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,86.91588785046729,93.0
91,720575940622348156,1,16,1,ACH,left,1789.0,1547.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8943543879262158,16.0
92,720575940622357965,1,11,1,GABA,left,968.0,1058.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1363636363636365,11.0
93,720575940622514922,1,10,1,GLUT,left,218.0,90.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.587155963302752,10.0
94,720575940622624214,2,29,1,ACH,left,1622.0,1224.0,0,2,0,29,-29,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7879161528976573,14.5
95,720575940622661095,2,22,1,ACH,left,670.0,270.0,0,2,0,22,-22,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.2835820895522385,11.0
96,720575940623004552,1,14,1,ACH,right,457.0,246.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.063457330415755,14.0
