,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
89,720575940617687067,1,34,1,GLUT,left,257.0,170.0,1,0,34,0,34,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.229571984435799,34.0,projection,129
90,720575940617828766,2,142,1,ACH,right,180.0,585.0,0,2,0,142,-142,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,78.88888888888889,71.0,local,0
91,720575940617854676,1,40,1,ACH,right,194.0,839.0,0,1,0,40,-40,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,20.618556701030926,40.0,projection,717
92,720575940618025199,2,69,1,SER,right,94.0,273.0,0,2,0,69,-69,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,73.40425531914893,34.5,local,0
93,720575940618029733,1,10,1,ACH,right,34.0,472.0,0,1,0,10,-10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,29.411764705882355,10.0,local,0
94,720575940618285397,1,11,1,GABA,left,295.0,209.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.728813559322034,11.0,local,0
95,720575940618388463,1,11,1,ACH,left,38.0,92.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,28.947368421052634,11.0,local,0
96,720575940618514043,1,34,1,ACH,left,1653.0,620.0,0,1,0,34,-34,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.05686630369026,34.0,local,0
97,720575940618696989,1,11,1,GABA,left,238.0,648.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.621848739495799,11.0,local,0
98,720575940618710720,1,13,1,GLUT,left,107.0,50.0,1,0,13,0,13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.149532710280374,13.0,projection,36
99,720575940618759985,1,14,1,ACH,left,64.0,95.0,1,0,14,0,14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,21.875,14.0,projection,84
100,720575940618788944,1,10,1,ACH,left,435.0,1098.0,0,1,0,10,-10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.2988505747126435,10.0,local,0
101,720575940618859480,1,19,1,ACH,left,1211.0,934.0,0,1,0,19,-19,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.568951279933939,19.0,local,0
102,720575940618887217,2,28,1,SER,right,54.0,50.0,0,2,0,28,-28,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,51.85185185185185,14.0,local,0
103,720575940619096536,1,27,1,GABA,left,3370.0,2944.0,1,0,27,0,27,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8011869436201781,27.0,projection,2421
