,root_id,upstream_water_2Ns,water_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses
34,720575940612154482,1,10,1,GLUT,left,113.0,101.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,8.849557522123893,10.0
35,720575940612213741,1,12,1,GABA,right,1851.0,1673.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6482982171799028,12.0
36,720575940612319155,1,39,1,ACH,right,288.0,496.0,1,0,39,0,39,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.541666666666666,39.0
37,720575940612438514,1,10,1,GABA,right,1643.0,1582.0,0,1,0,10,-10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6086427267194157,10.0
38,720575940612479205,1,17,1,GABA,left,842.0,1103.0,1,0,17,0,17,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.019002375296912,17.0
39,720575940612574435,1,13,1,GABA,right,621.0,930.0,1,0,13,0,13,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0933977455716586,13.0
40,720575940612611301,2,47,1,ACH,left,1222.0,1307.0,2,0,47,0,47,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,3.8461538461538463,23.5
41,720575940612692633,1,18,1,ACH,left,2734.0,1342.0,0,1,0,18,-18,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6583760058522311,18.0
42,720575940612711859,1,30,1,SER,left,250.0,225.0,1,0,30,0,30,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.0,30.0
43,720575940612894578,1,22,1,GLUT,left,505.0,516.0,1,0,22,0,22,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.356435643564356,22.0
44,720575940612906518,1,74,1,GABA,right,1994.0,1831.0,1,0,74,0,74,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,3.711133400200602,74.0
45,720575940613224446,1,17,1,ACH,left,79.0,96.0,1,0,17,0,17,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,21.518987341772153,17.0
46,720575940613493485,1,12,1,GLUT,left,741.0,408.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.6194331983805668,12.0
